Category,Skill Name,Author,Description,GitHub URL
academic,agentdb-vector-search,ruvnet,"""Implement semantic vector search with AgentDB for intelligent document retrieval, similarity matching, and context-aware querying. Use when building RAG systems, semantic search engines, or intelligent knowledge bases.""",https://github.com/ruvnet/claude-flow/tree/main/.claude/skills/agentdb-vector-search
academic,alphafold-database,K-Dense-AI,"""Access AlphaFold's 200M+ AI-predicted protein structures. Retrieve structures by UniProt ID, download PDB/mmCIF files, analyze confidence metrics (pLDDT, PAE), for drug discovery and structural biology.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/alphafold-database
academic,arxiv-search,langchain-ai,"Search arXiv preprint repository for papers in physics, mathematics, computer science, quantitative biology, and related fields",https://github.com/langchain-ai/deepagents/tree/master/libs/deepagents-cli/examples/skills/arxiv-search
academic,benchling-integration,K-Dense-AI,"""Benchling R&D platform integration. Access registry (DNA, proteins), inventory, ELN entries, workflows via API, build Benchling Apps, query Data Warehouse, for lab data management automation.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/benchling-integration
academic,biomni,K-Dense-AI,"Autonomous biomedical AI agent framework for executing complex research tasks across genomics, drug discovery, molecular biology, and clinical analysis. Use this skill when conducting multi-step biomedical research including CRISPR screening design, single-cell RNA-seq analysis, ADMET prediction, GWAS interpretation, rare disease diagnosis, or lab protocol optimization. Leverages LLM reasoning with code execution and integrated biomedical databases.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/biomni
academic,biopython,K-Dense-AI,"""Primary Python toolkit for molecular biology. Preferred for Python-based PubMed/NCBI queries (Bio.Entrez), sequence manipulation, file parsing (FASTA, GenBank, FASTQ, PDB), advanced BLAST workflows, structures, phylogenetics. For quick BLAST, use gget. For direct REST API, use pubmed-database.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/biopython
academic,biorxiv-database,K-Dense-AI,"Efficient database search tool for bioRxiv preprint server. Use this skill when searching for life sciences preprints by keywords, authors, date ranges, or categories, retrieving paper metadata, downloading PDFs, or conducting literature reviews.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/biorxiv-database
academic,bioservices,K-Dense-AI,"""Primary Python tool for 40+ bioinformatics services. Preferred for multi-database workflows: UniProt, KEGG, ChEMBL, PubChem, Reactome, QuickGO. Unified API for queries, ID mapping, pathway analysis. For direct REST control, use individual database skills (uniprot-database, kegg-database).""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/bioservices
academic,chembl-database,K-Dense-AI,"""Query ChEMBL's bioactive molecules and drug discovery data. Search compounds by structure/properties, retrieve bioactivity data (IC50, Ki), find inhibitors, perform SAR studies, for medicinal chemistry.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/chembl-database
academic,clinicaltrials-database,K-Dense-AI,"""Query ClinicalTrials.gov via API v2. Search trials by condition, drug, location, status, or phase. Retrieve trial details by NCT ID, export data, for clinical research and patient matching.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/clinicaltrials-database
academic,clinpgx-database,K-Dense-AI,"""Access ClinPGx pharmacogenomics data (successor to PharmGKB). Query gene-drug interactions, CPIC guidelines, allele functions, for precision medicine and genotype-guided dosing decisions.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/clinpgx-database
academic,clinvar-database,K-Dense-AI,"""Query NCBI ClinVar for variant clinical significance. Search by gene/position, interpret pathogenicity classifications, access via E-utilities API or FTP, annotate VCFs, for genomic medicine.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/clinvar-database
academic,content-research-writer,ComposioHQ,"Assists in writing high-quality content by conducting research, adding citations, improving hooks, iterating on outlines, and providing real-time feedback on each section. Transforms your writing process from solo effort to collaborative partnership.",https://github.com/ComposioHQ/awesome-claude-skills/tree/master/content-research-writer
academic,cosmic-database,K-Dense-AI,"""Access COSMIC cancer mutation database. Query somatic mutations, Cancer Gene Census, mutational signatures, gene fusions, for cancer research and precision oncology. Requires authentication.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/cosmic-database
academic,denario,K-Dense-AI,"Multiagent AI system for scientific research assistance that automates research workflows from data analysis to publication. This skill should be used when generating research ideas from datasets, developing research methodologies, executing computational experiments, performing literature searches, or generating publication-ready papers in LaTeX format. Supports end-to-end research pipelines with customizable agent orchestration.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/denario
academic,dnanexus-integration,K-Dense-AI,"""DNAnexus cloud genomics platform. Build apps/applets, manage data (upload/download), dxpy Python SDK, run workflows, FASTQ/BAM/VCF, for genomics pipeline development and execution.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/dnanexus-integration
